inf_step,inf_id,inf_source,host_id,infected_host_ids,transmission_day,overall_day
0,0,NA,seed,H1;H2;H3,21,21
1,1,0,H1,H4;H5;H6,20,41
1,2,0,H3,H7;H8,26,47
2,3,1,H4,H9;H10,25,66
2,4,1,H5,H11,16,57
2,5,2,H8,H12,23,70
3,6,3,H10,H13;H14;H15,20,86
3,7,4,H11,H16,14,71
3,8,5,H12,H17,23,93
4,9,6,H14,H18;H19;H20;H21;H22,22,108
4,10,6,H15,H23,25,111
4,11,8,H17,H24,18,111
5,12,9,H19,H25;H26,29,137
5,13,9,H20,H27;H28,19,127
5,14,11,H24,H29,16,127
6,15,12,H25,H30;H31,21,158
6,16,13,H27,H32,24,151
6,17,13,H28,H33;H34,27,154
6,18,14,H29,H35,20,147
7,19,15,H30,H36,22,180
7,20,16,H32,H37,20,171
7,21,18,H35,H38,10,157
8,22,19,H36,H39,19,199
8,23,20,H37,H40,17,188
8,24,21,H38,H41;H42;H43,16,173
9,25,22,H39,H44,20,219
9,26,23,H40,H45;H46;H47;H48,17,205
9,27,24,H41,H49,30,203
9,28,24,H42,H50;H51,25,198
9,29,24,H43,H52,15,188
10,30,26,H45,H53;H54,20,225
10,31,26,H46,H55,22,227
10,32,28,H50,H56;H57;H58,22,220
10,33,28,H51,H59,26,224
11,34,31,H55,H60,14,241
11,35,32,H56,H61;H62,18,238
11,36,32,H57,H63;H64;H65,22,242
12,37,35,H61,H66,25,263
12,38,35,H62,H67;H68,24,262
12,39,36,H63,H69,20,262
12,40,36,H65,H70;H71;H72;H73,31,273
13,41,37,H66,H74,22,285
13,42,38,H68,H75;H76,26,288
13,43,40,H70,H77,25,298
13,44,40,H71,H78;H79,16,289
13,45,40,H72,H80,15,288
13,46,40,H73,H81,30,303
14,47,42,H75,H82;H83,18,306
14,48,42,H76,H84;H85,17,305
14,49,43,H77,H86;H87,16,314
14,50,44,H79,H88,15,304
14,51,45,H80,H89,20,308
14,52,46,H81,H90,23,326
15,53,48,H84,H91;H92;H93,24,329
15,54,48,H85,H94;H95,16,321
15,55,49,H86,H96,21,335
15,56,49,H87,H97,21,335
15,57,50,H88,H98,15,319
15,58,51,H89,H99,19,327
16,59,53,H91,H100,19,348
16,60,53,H92,H101,16,345
16,61,54,H95,H102,15,336
16,62,55,H96,H103,20,355
16,63,58,H99,H104,14,341
17,64,59,H100,H105,25,373
17,65,60,H101,H106;H107;H108;H109,20,365
17,66,61,H102,H110;H111,24,360
17,67,62,H103,H112,21,376
18,68,64,H105,H113,26,399
18,69,65,H106,H114,20,385
18,70,65,H108,H115,19,384
18,71,66,H111,H116;H117,24,384
18,72,67,H112,H118;H119,24,400
19,73,68,H113,H120,28,427
19,74,71,H116,H121,21,405
19,75,71,H117,H122,16,400
19,76,72,H119,H123;H124,22,422
20,77,73,H120,H125;H126,18,445
20,78,74,H121,H127;H128;H129,12,417
20,79,75,H122,H130,26,426
20,80,76,H123,H131;H132;H133,29,451
20,81,76,H124,H134;H135,23,445
