sim_day,inf_id,host_id,pop_size,carriet_count
1,inf0,seed,51,0
2,inf0,seed,112,0
3,inf0,seed,219,0
4,inf0,seed,429,0
5,inf0,seed,848,0
6,inf0,seed,1682,0
7,inf0,seed,3404,0
8,inf0,seed,6821,0
9,inf0,seed,13927,0
10,inf0,seed,28052,0
11,inf0,seed,56444,0
12,inf0,seed,113089,0
13,inf0,seed,227651,0
14,inf0,seed,458387,0
15,inf0,seed,920875,0
16,inf0,seed,999557,0
17,inf0,seed,1000968,0
18,inf0,seed,1001523,0
19,inf0,seed,999511,0
20,inf0,seed,1000980,0
21,inf0,seed,999873,0
22,inf2,H3,38,0
23,inf2,H3,77,0
24,inf2,H3,152,0
25,inf2,H3,330,0
26,inf2,H3,634,0
27,inf2,H3,1284,0
28,inf2,H3,2581,0
29,inf2,H3,5172,0
30,inf2,H3,10422,0
31,inf2,H3,21049,0
32,inf2,H3,42323,0
33,inf2,H3,85375,0
34,inf2,H3,170740,0
35,inf2,H3,344160,0
36,inf2,H3,690629,0
37,inf2,H3,999969,0
38,inf2,H3,1001391,1
39,inf2,H3,999555,0
40,inf2,H3,1000891,0
41,inf2,H3,1000888,1
42,inf2,H3,999884,3
43,inf2,H3,999533,3
44,inf2,H3,1000366,6
45,inf2,H3,999707,10
46,inf2,H3,1000297,17
47,inf2,H3,999386,23
48,inf5,H8,49,0
49,inf5,H8,98,0
50,inf5,H8,206,0
51,inf5,H8,418,0
52,inf5,H8,840,0
53,inf5,H8,1721,0
54,inf5,H8,3496,0
55,inf5,H8,7026,0
56,inf5,H8,14160,0
57,inf5,H8,28658,0
58,inf5,H8,57514,0
59,inf5,H8,115567,0
60,inf5,H8,232851,0
61,inf5,H8,468618,0
62,inf5,H8,942350,0
63,inf5,H8,999007,0
64,inf5,H8,1000738,0
65,inf5,H8,1000752,1
66,inf5,H8,999363,2
67,inf5,H8,999784,3
68,inf5,H8,999727,1
69,inf5,H8,999757,2
70,inf5,H8,1000300,3
71,inf8,H12,40,0
72,inf8,H12,84,0
73,inf8,H12,157,0
74,inf8,H12,320,0
75,inf8,H12,658,0
76,inf8,H12,1329,0
77,inf8,H12,2681,0
78,inf8,H12,5362,0
79,inf8,H12,10899,0
80,inf8,H12,21962,0
